S.No,Date,Prob_No,Difficulty,Prob_Name
1,1-5-24,2000,Easy,Reverse Prefix Of Word
2,2-5-24,2441,Easy,Largest Positive Integer That Exists With Its Negative
3,3-5-24,0165,Medium,Compare Version Numbers
4,4-5-24,0881,Medium,Boats To Save People
5,5-5-24,0237,Medium,Delete Nodes In A Linked List
6,6-5-24,2487,Medium,Remove Nodes From Linked List
7,7-5-24,2816,Medium,Double A Number Represented As A Linked List
8,8-5-24,0506,Easy,Relative Ranks
9,9-5-24,3075,Medium,Maximize Happiness Of Selected Children
10,10-5-24,0786,Medium,Kth Smallest Prime Fraction
11,11-5-24,0857,Hard,Minimum Cost To Hire K Workers
12,12-5-24,2373,Easy,Largest Local Values In A Matrix
13,13-5-24,0861,Medium,Score After Flipping Matrix
14,14-5-24,1219,Medium,Path Wth Maximum Gold
15,15-5-24,2812,Medium,Find The Safest Path In A Grid
16,16-5-24,2331,Easy,Evaluate Boolean Binary Tree
17,17-5-24,1325,Medium,Delete Leaves With A Given Value
18,18-5-24,0979,Medium,Distribute Coins In Binary Tree
19,19-5-24,3068,Hard,Find The Maximum Sum Of Node Values
20,20-5-24,1863,Easy,Sum Of All Subset XOR Totals
21,21-5-24,0078,Medium,Subsets
22,22-5-24,0131,Medium,Palindrome Partitioning
23,23-5-24,2597,Medium,The Number Of Beautiful Subsets
24,24-5-24,1255,Hard,Maximum Score Words Formed By Letters
25,25-5-24,0140,Hard,Word Break II
26,26-5-24,0552,Hard,Student Attendance Record II
27,27-5-24,1608,Easy,Special Array With X Elements Greater Than Or Equal X
28,28-5-24,1208,Medium,Get Equal Substrings Within Budget
29,29-5-24,1404,Medium,Number of Steps to Reduce a Number in Binary Representation to One
30,30-5-24,1442,Medium,Count Triplets That Can Form Two Arrays of Equal XOR
31,31-5-24,0260,Medium,Single Number III
32,1-6-24,3110,Easy,Score Of A String
33,2-6-24,0344,Easy,Reverse String
34,3-6-24,2486,Medium,Append Characters To String To Make Subsequence
35,4-6-24,0409,Easy,Longest Palindrome
36,5-6-24,1002,Easy,Find Common Characters
37,6-6-24,0846,Medium,Hand Of Straights
38,7-6-24,0648,Medium,Replace Words
39,8-6-24,0523,Medium,Continuous SubArray Sum
40,9-6-24,0974,Medium,SubArray Sums Divisible By K
